,classification
0,川菜
1,老人食谱
2,不孕不育食谱
3,肾调养食谱
4,家常菜谱
5,青少年食谱
6,补阳食谱
7,阳痿早泄食谱
8,低温环境作业人群食谱
9,糖尿病食谱
10,脾调养食谱
11,结核病食谱
12,私家菜
13,骨质疏松食谱
14,营养不良食谱
15,便秘食谱
16,壮腰健肾食谱
17,接触化学毒素人员食谱
18,高血压食谱
19,健脾开胃食谱
20,京菜
21,学龄期儿童食谱
22,肝调养食谱
23,神经衰弱食谱
24,肾炎食谱
25,月经不调食谱
26,滋阴食谱
27,小儿遗尿食谱
28,清热解毒食谱
29,明目食谱
30,补血食谱
31,补虚养身食谱
32,夜尿多食谱
33,自汗盗汗食谱
34,补气食谱
35,中风食谱
36,高脂血症食谱
37,动脉硬化食谱
38,甲状腺疾病食谱
39,冠心病食谱
40,防癌抗癌食谱
41,沪菜
42,美容菜谱
43,咳喘食谱
44,减肥菜谱
45,精品主食
46,贫血食谱
47,心悸食谱
48,活血化瘀食谱
49,孕妇菜谱
50,肝炎食谱
51,胃调养食谱
52,延缓衰老食谱
53,气血双补食谱
54,防暑食谱
55,乳母食谱
56,咽炎食谱
57,益智补脑食谱
58,健忘食谱
59,乌发食谱
60,清热去火食谱
61,理气调理食谱
62,通乳食谱
63,更年期食谱
64,耳鸣食谱
65,产后调理食谱
66,鲁菜
67,清真菜
68,水肿食谱
69,术后食谱
70,湖北菜
71,甜品/点心
72,腹泻调理食谱
73,豫菜
74,东北菜
75,消化不良食谱
76,失眠食谱
77,肺调养食谱
78,浙菜
79,增肥食谱
80,湘菜
81,卤酱菜
82,止血调理食谱
83,冻疮食谱
84,利尿食谱
85,药膳偏方
86,心调养食谱
87,粤菜
88,肢寒畏冷食谱
89,幼儿菜谱
90,痔疮食谱
91,痛经食谱
92,西北菜
93,素斋菜
94,胃炎食谱
95,尿路结石食谱
96,微波菜谱
97,肠炎食谱
98,哮喘食谱
99,头痛食谱
100,祛痰食谱
101,痛风食谱
102,脚气食谱
103,婴儿食谱
104,年夜饭
105,口腔溃疡食谱
106,丰胸食谱
107,山西菜
108,江西菜
109,学龄前儿童食谱
110,关节炎食谱
111,苏菜
112,子宫脱垂食谱
113,祛痱食谱
114,感冒食谱
115,胆石症食谱
116,痢疾食谱
117,肝硬化食谱
118,呕吐调理食谱
119,前列腺疾病食谱
120,云贵菜
121,解酒食谱
122,高温环境作业人群食谱
123,消化性溃疡食谱
124,腮腺炎食谱
125,小儿营养不良食谱
126,保胎食谱
127,其他国家
128,闽菜
129,癫痫食谱
130,鼻炎食谱
131,美味粥汤
132,跌打骨折食谱
133,运动员食谱
134,皮肤病食谱
135,围孕期食谱
136,产妇菜谱
137,时尚饮品
138,清爽凉菜
139,美味糕点
140,韩国料理
141,意大利餐
142,麻疹食谱
143,接触电离辐射人员食谱
144,支气管炎食谱
145,日本料理
146,克山病食谱
147,肺气肿食谱
148,港台菜
149,其他菜系
150,骨质增生食谱
151,疟疾食谱
152,徽菜
153,火锅食谱
154,法国菜谱
