,热量（大卡）,碳水化合物（克）,脂肪（克）,蛋白质（克）,纤维素（克）,维生素A（微克）,维生素B1（微克）（硫铵素）,维生素B2（微克）（核黄素）,维生素B6（微克）,维生素C（微克）,维生素E（毫克）,胡萝卜素（微克）,胆固醇（毫克）,镁（毫克）,钙（毫克）,铁,锌,铜,锰,钾,磷,钠,硒
常人/女,[65.5 + 9.6 x 体重(kg) + l.9 x 高度(cm) - 4.7 x 年龄] x 活动量,每公斤7.5g,每公斤1.2g,1g/公斤,25,700,1200,1200,1400,100,14,3600,200,315,1200,15,12,2.3,3.5,2000,1000,1500,0.05
常人/男,[66 + 1.38 x 体重(kg) + 5 x 高度(cm) - 6.8 x 年龄] x 活动量,每公斤7.5g,每公斤1.2g,1g/公斤,25,800,1400,1400,2000,100,14,3400,200,360,1200,10,15,2.3,3.5,2000,1000,1500,0.05
,,,,,,,,,,,,,,,,,,,,,,,
老人食谱,1.1,0,0,0,15,0,0,0,0,100,0,0,0,0,0,0,0,1,0,1000,500,1000,0
青少年食谱,1.1,0,0,0,0,500,0,0,1500,0,0,2000,100,0,700,10,7,0,2,0,500,0,0
补阳食谱,1.1,0,0,0,0,0,0,0,0,0,10,1500,100,0,0,0,10,0,2,0,0,0,0
糖尿病食谱,1.1,-1,0,0,15,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,500,0
骨质疏松食谱,1.1,0,0,0,0,0,0,0,0,100,0,1500,0,0,1000,5,0,2,2,0,500,0,0
营养不良食谱,1.1,0,0,0,0,500,0,0,1500,,,,,,,,,,,,,,
便秘食谱,1.1,0,0,0,15,0,0,0,1000,,,,,,,,,,,,,,
壮腰健肾食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
高血压食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
健脾开胃食谱,1.1,0,0,0,10,0,0,0,1500,,,,,,,,,,,,,,
学龄期儿童食谱,1.1,0,0,0,0,500,0,0,1000,,,,,,,,,,,,,,
神经衰弱食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
月经不调食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
清热解毒食谱,1.1,0,0,0,10,0,0,500,0,,,,,,,,,,,,,,
补血食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
高脂血症食谱,1.1,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,
防癌抗癌食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
咳喘食谱,1.1,0,0,0,15,0,0,0,0,,,,,,,,,,,,,,
贫血食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
活血化瘀食谱,1.1,0,0,0,15,0,500,0,0,,,,,,,,,,,,,,
孕妇菜谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
炎症食谱,1.1,0,0,0,0,0,200,700,0,,,,,,,,,,,,,,
胃调养食谱,1.1,0,0,0,0,0,0,0,1000,,,,,,,,,,,,,,
防暑食谱,1.1,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,
健忘食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
乌发食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
产后调理食谱,1.1,0,0,0,0,300,0,0,0,,,,,,,,,,,,,,
水肿食谱,1.1,0,0,0,0,0,700,450,0,,,,,,,,,,,,,,
术后食谱,1.1,0,0,0,0,200,400,400,0,,,,,,,,,,,,,,
失眠食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
口腔溃疡食谱,1.1,0,0,0,0,0,0,500,0,,,,,,,,,,,,,,
感冒食谱,1.1,0,0,0,0,0,0,0,500,,,,,,,,,,,,,,
前列腺疾病食谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
解酒食谱,1.1,0,0,0,0,0,0,0,1000,,,,,,,,,,,,,,
减肥菜谱,1.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
